feature,coefficient,odds_ratio
sleep_hours,-2.2019364744456773,0.11058879849585296
anxiety_level,1.872131787156035,6.50214281978217
stress_level,1.7368742151259764,5.679562556837395
daily_social_media_hours,1.6448535629430259,5.180251270653168
gender,0.4901226135551068,1.6325163763208572
academic_performance,0.3128680231712681,1.3673410617818589
screen_time_before_sleep,-0.2731446773652125,0.7609826826947759
platform_usage,0.17580522365241905,1.192205822538674
addiction_level,0.17066988422117388,1.1860991343466767
physical_activity,-0.16287043561493975,0.8497012723057916
age,0.1338695819795891,1.1432437103400384
social_interaction_level,0.12427715009415514,1.1323296527847249
