education,mean_resid,n
No formal literacy,0.08873842708727203,27
Elementary education,0.054503130280997084,1131
High school,0.01546235812493899,7940
Higher education,0.008583609912945052,16534
Graduate specialization,0.0083223492255061,5253
Doctorate,-0.005466787778148423,755
Master's degree,-0.00829873399132952,1643
