education,like_rate,n
No formal literacy,0.7037037037037037,27
Elementary education,0.6710875331564987,1131
High school,0.5807304785894206,7940
Higher education,0.47163420829805247,16534
Graduate specialization,0.42394822006472493,5253
Master's degree,0.36518563603164944,1643
Doctorate,0.3562913907284768,755
