age_group,like_rate,n
18 to 25 years,0.5990087325938164,4237
Over 65 years,0.5062413314840499,721
26 to 35 years,0.4933771890834741,11249
56 to 65 years,0.4685057471264368,2175
46 to 55 years,0.46632633025721576,5093
36 to 45 years,0.45228384991843396,9808
