trips_last_12_months,mean_resid,n
1 - first trip,0.03698520639220478,10706
2 to 3,0.016261607213029987,15380
4 to 5,0.001183664696155799,10076
Unknown/no answer,-0.022225519995113158,125
6 to 10,-0.02228165573035318,10543
More than 11,-0.039429068290378025,10684
