age_group,mean_resid,n
18 to 25 years,0.015411734185739715,4237
36 to 45 years,0.013640065166842984,9808
46 to 55 years,0.013470613300978587,5093
26 to 35 years,0.006999440493509395,11249
56 to 65 years,0.0064751472504978955,2175
Over 65 years,-0.008073090667737913,721
